Httpd-Thread, Wrk-Thread, Wrk-Connection, Latency-Min, Latency-Max, Latency-Mean, Latency-StDev, Latency-50P, Latency-90P, Latency-99P, Latency-99.999P, Requests-Min, Requests-Max, Requests-Mean, Requests-StDev, Requests-50P, Requests-90P, Requests-99P, Requests-99.999P, Total-Duration, Total-Requests, Total-Bytes, Avg-Requests, Error-Connect, Error-Read, Error-Write, Error-Status>399, Error-Timeout
1, 4, 40, 58.000000, 2476.000000, 903.810384, 470.182055, 898.000000, 1536.000000, 1801.000000, 2477.000000, 100.000000, 555.000000, 269.141844, 92.690728, 222.000000, 444.000000, 500.000000, 555.000000, 59999281.000000, 59995.000000, 43376385.000000, 999.928649, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 61.000000, 2296.000000, 898.583937, 411.125060, 897.000000, 1442.000000, 1853.000000, 2249.000000, 200.000000, 888.000000, 535.037167, 116.942882, 555.000000, 666.000000, 800.000000, 888.000000, 60001407.000000, 119976.000000, 86742648.000000, 1999.553110, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 57.000000, 2246.000000, 872.150311, 448.217234, 858.000000, 1499.000000, 1960.000000, 2243.000000, 555.000000, 1000.000000, 788.040121, 84.273891, 800.000000, 900.000000, 1000.000000, 1000.000000, 59999402.000000, 179947.000000, 130101681.000000, 2999.146558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 61.000000, 2228.000000, 958.147621, 453.848033, 963.000000, 1552.000000, 1954.000000, 2217.000000, 555.000000, 1666.000000, 1064.942798, 131.285378, 1111.000000, 1200.000000, 1500.000000, 1666.000000, 60002662.000000, 239925.000000, 173465775.000000, 3998.572597, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 56.000000, 2138.000000, 976.865056, 372.008043, 990.000000, 1467.000000, 1688.000000, 2093.000000, 909.000000, 2222.000000, 1336.801071, 309.637566, 1300.000000, 2000.000000, 2223.000000, 2223.000000, 60000572.000000, 297292.000000, 214942116.000000, 4954.819431, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 59.000000, 2286.000000, 835.534663, 393.351412, 820.000000, 1336.000000, 1811.000000, 2243.000000, 909.000000, 2222.000000, 1602.078857, 260.556788, 1600.000000, 2000.000000, 2223.000000, 2223.000000, 60002788.000000, 358407.000000, 259128261.000000, 5973.172447, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 55.000000, 3190.000000, 859.818418, 408.948194, 845.000000, 1363.000000, 1863.000000, 2285.000000, 909.000000, 2222.000000, 1853.302215, 234.961418, 1900.000000, 2111.000000, 2223.000000, 2223.000000, 60001132.000000, 418025.000000, 302232075.000000, 6966.951890, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 57.000000, 2152.000000, 961.759046, 408.801065, 967.000000, 1510.000000, 1805.000000, 2109.000000, 1100.000000, 3222.000000, 2077.449066, 212.204781, 2000.000000, 2301.000000, 2701.000000, 3223.000000, 60002296.000000, 477741.000000, 345406743.000000, 7962.045319, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 61.000000, 2442.000000, 925.446675, 406.482220, 923.000000, 1418.000000, 1946.000000, 2243.000000, 1818.000000, 3333.000000, 2367.877439, 251.351130, 2333.000000, 2667.000000, 3001.000000, 3333.000000, 60002636.000000, 537457.000000, 388581411.000000, 8957.223146, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 4, 40, 60.000000, 4136.000000, 976.532385, 428.890532, 973.000000, 1565.000000, 1917.000000, 2277.000000, 2100.000000, 3222.000000, 2610.277583, 163.795591, 2601.000000, 2801.000000, 3001.000000, 3223.000000, 59999604.000000, 599774.000000, 433636602.000000, 9996.299309, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
